transaction_type,amount,nameOrig,nameDest,oldbalanceOrg,newbalanceOrig,location,isFraud,isFlaggedFraud
PAYMENT,28566.96,C457443,M769219,5052.56,0.0,UK,0,0
WITHDRAWAL,25428.37,C982792,M292729,21978.01,0.0,UK,0,0
WITHDRAWAL,31713.2,C209369,M265628,94764.59,63051.39,AU,0,0
WITHDRAWAL,24551.99,C058336,M582565,52775.75,28223.76,NG,0,0
WITHDRAWAL,20118.01,C737638,M001679,38845.55,18727.540000000005,ZA,0,0
PAYMENT,45865.16,C429078,M656172,98363.81,52498.649999999994,AU,0,0
DEPOSIT,49289.93,C197394,M239106,66507.35,17217.420000000006,AU,0,0
TRANSFER,49422.75,C558639,M115810,25900.01,0.0,AE,0,0
DEPOSIT,29538.08,C630877,M486353,37951.69,8413.61,US,0,0
WITHDRAWAL,39660.11,C993495,M172613,70593.25,30933.14,IN,0,0
DEPOSIT,11905.25,C363751,M897340,98191.37,86286.12,AE,0,0
WITHDRAWAL,41196.76,C666563,M280768,71665.79,30469.02999999999,IN,0,0
PAYMENT,43069.73,C739052,M404093,613.79,0.0,UK,0,0
PAYMENT,5819.13,C903581,M648809,74759.68,68940.54999999999,ZA,0,0
PAYMENT,10831.06,C304511,M420947,96058.38,85227.32,AE,0,0
WITHDRAWAL,13104.03,C972952,M790995,99469.33,86365.3,ZA,0,0
WITHDRAWAL,48009.98,C117456,M595280,87256.04,39246.05999999999,NG,0,0
DEPOSIT,13864.18,C063549,M297141,28622.18,14758.0,IN,1,0
PAYMENT,20214.67,C813627,M256663,88224.23,68009.56,UK,0,0
PAYMENT,45139.55,C218095,M119737,96598.8,51459.25,ZA,0,0
PAYMENT,14248.77,C112455,M285905,74951.69,60702.92,IN,0,0
PAYMENT,32134.98,C845051,M912564,57301.09,25166.109999999997,IN,0,0
PAYMENT,7871.64,C064703,M417733,36398.45,28526.809999999998,NG,0,0
DEPOSIT,46230.85,C432981,M350594,78599.64,32368.79,CA,0,0
PAYMENT,8494.95,C378001,M231238,49824.38,41329.42999999999,AU,0,0
WITHDRAWAL,16947.53,C012717,M331856,35650.65,18703.120000000003,IN,0,0
TRANSFER,14574.45,C416586,M485519,13669.87,0.0,CA,0,0
TRANSFER,49885.38,C007887,M469564,53178.67,3293.290000000001,AU,0,0
PAYMENT,47445.54,C180250,M950786,83605.01,36159.469999999994,US,0,0
WITHDRAWAL,47748.95,C973322,M331202,5202.3,0.0,AU,0,0
TRANSFER,25618.25,C076230,M698719,6134.19,0.0,NG,0,0
DEPOSIT,41879.17,C804100,M260577,89720.14,47840.97,AE,0,0
WITHDRAWAL,16423.87,C893641,M052778,14993.78,0.0,ZA,0,0
WITHDRAWAL,29547.9,C012094,M202910,97084.91,67537.01000000001,UK,0,0
WITHDRAWAL,8585.57,C395090,M725408,95155.39,86569.82,ZA,0,0
PAYMENT,43442.18,C728935,M654145,50154.27,6712.0899999999965,US,0,0
DEPOSIT,6031.06,C075146,M926300,68132.11,62101.05,US,0,0
DEPOSIT,3047.37,C682360,M367558,39029.43,35982.06,AE,0,0
DEPOSIT,32324.48,C752696,M438010,45104.9,12780.420000000002,AU,0,0
WITHDRAWAL,34198.26,C324140,M850168,55008.31,20810.049999999996,AE,0,0
TRANSFER,22842.48,C736844,M045009,73552.99,50710.51000000001,AE,0,0
DEPOSIT,43589.36,C864130,M437441,49938.46,6349.0999999999985,AU,0,0
WITHDRAWAL,38334.44,C128994,M596845,83786.68,45452.23999999999,UK,0,0
WITHDRAWAL,6150.85,C158105,M585022,35936.92,29786.07,UK,0,0
PAYMENT,16023.77,C364084,M299365,6989.73,0.0,AE,0,0
TRANSFER,29510.94,C067095,M974706,3039.04,0.0,CA,0,0
DEPOSIT,9626.0,C529755,M243460,17282.7,7656.700000000001,UK,0,0
PAYMENT,37931.05,C338779,M954162,37329.2,0.0,NG,0,0
DEPOSIT,5724.92,C313962,M911767,45558.76,39833.840000000004,UK,0,0
DEPOSIT,16424.57,C453398,M032471,50507.65,34083.08,US,0,0
PAYMENT,44037.58,C626627,M709248,36628.09,0.0,UK,0,0
PAYMENT,14799.52,C812122,M489988,94413.24,79613.72,CA,0,0
DEPOSIT,10860.09,C669246,M331476,59427.44,48567.350000000006,IN,0,0
PAYMENT,39345.65,C346685,M874053,27749.99,0.0,AE,0,0
PAYMENT,1527.24,C313432,M310632,15952.98,14425.74,AE,0,0
DEPOSIT,30304.63,C030340,M012325,94533.09,64228.45999999999,IN,0,0
WITHDRAWAL,2433.74,C506992,M163911,13230.5,10796.76,US,0,0
WITHDRAWAL,30350.18,C372370,M110859,32408.96,2058.779999999999,UK,0,0
WITHDRAWAL,18190.69,C662499,M471766,68271.76,50081.06999999999,AE,0,0
WITHDRAWAL,44018.79,C237116,M190563,77970.07,33951.280000000006,US,0,0
DEPOSIT,44765.86,C486305,M404601,55472.13,10706.269999999997,ZA,0,0
PAYMENT,46167.72,C707214,M090220,91008.08,44840.36,CA,0,0
WITHDRAWAL,13270.24,C309831,M825205,77103.02,63832.780000000006,IN,0,0
WITHDRAWAL,41181.72,C946426,M355818,11953.24,0.0,AU,0,0
WITHDRAWAL,7698.89,C723824,M517632,83996.24,76297.35,ZA,0,0
TRANSFER,21855.96,C852465,M651932,42671.92,20815.96,AU,0,0
WITHDRAWAL,44146.1,C490586,M708615,53878.05,9731.950000000004,UK,0,0
DEPOSIT,49507.56,C261968,M495383,85980.6,36473.04000000001,AE,0,0
WITHDRAWAL,6032.02,C519260,M660339,2014.11,0.0,IN,0,0
WITHDRAWAL,19164.36,C111493,M843896,19718.67,554.3099999999977,AE,0,0
DEPOSIT,46697.77,C383742,M785040,89652.89,42955.12,AE,0,0
DEPOSIT,748.67,C489747,M723190,51226.8,50478.130000000005,ZA,0,0
PAYMENT,9930.25,C203419,M311811,46462.57,36532.32,AU,0,0
TRANSFER,42370.8,C297975,M166256,21045.81,0.0,US,0,0
DEPOSIT,25300.06,C090973,M788843,87129.65,61829.59,AU,0,0
WITHDRAWAL,41178.7,C002973,M151271,48628.95,7450.25,AU,0,0
DEPOSIT,8690.04,C129276,M325841,48849.25,40159.21,NG,0,0
DEPOSIT,28218.27,C952568,M567769,8444.27,0.0,IN,0,0
PAYMENT,7121.7,C121463,M630195,1025.67,0.0,US,0,0
WITHDRAWAL,24917.56,C953366,M879530,10.49,0.0,AU,0,0
WITHDRAWAL,28318.54,C803191,M973241,84404.13,56085.590000000004,AE,0,0
PAYMENT,23301.57,C671369,M377485,733.41,0.0,NG,0,0
TRANSFER,32660.25,C799316,M020735,25979.98,0.0,CA,0,0
TRANSFER,241.62,C645394,M167139,51575.36,51333.74,US,0,0
TRANSFER,12172.21,C007186,M402772,8356.39,0.0,IN,0,0
DEPOSIT,24478.98,C428137,M712572,27291.58,2812.600000000002,UK,0,0
PAYMENT,41739.74,C425350,M270659,59659.5,17919.760000000002,NG,0,0
TRANSFER,37896.13,C359754,M409525,39097.79,1201.6600000000035,US,0,0
TRANSFER,31923.49,C085828,M951007,62473.59,30550.099999999995,ZA,0,0
TRANSFER,11228.99,C809753,M785452,85531.25,74302.26,US,0,0
DEPOSIT,9896.84,C113621,M349275,4822.49,0.0,US,0,0
TRANSFER,17708.08,C213769,M792497,51255.35,33547.27,IN,0,0
DEPOSIT,17471.02,C780863,M315591,68974.0,51502.979999999996,ZA,0,0
WITHDRAWAL,20540.54,C290535,M603361,16623.51,0.0,AE,0,0
PAYMENT,1162.82,C362838,M716855,34682.16,33519.340000000004,CA,0,0
TRANSFER,11879.31,C639196,M475688,51267.41,39388.100000000006,CA,0,0
TRANSFER,39112.47,C003793,M802077,80975.86,41863.39,CA,0,0
DEPOSIT,36225.51,C934943,M155846,56437.13,20211.619999999995,ZA,0,0
DEPOSIT,5040.83,C773309,M032197,62885.01,57844.18,AE,0,0
DEPOSIT,33490.18,C289863,M635873,67696.64,34206.46,ZA,0,0
WITHDRAWAL,52.89,C243179,M517545,27558.87,27505.98,AU,0,0
TRANSFER,6623.89,C377396,M156962,16662.68,10038.79,AE,0,0
TRANSFER,749.88,C026622,M123836,68085.9,67336.01999999999,AU,0,0
PAYMENT,38939.19,C112547,M766800,26549.36,0.0,CA,0,0
TRANSFER,46165.57,C025302,M187313,13178.76,0.0,US,0,0
WITHDRAWAL,42246.67,C403200,M308861,95342.62,53095.95,ZA,0,0
DEPOSIT,14914.19,C978600,M550759,9085.35,0.0,AU,0,0
PAYMENT,44922.51,C907627,M691419,56748.73,11826.220000000001,IN,0,0
WITHDRAWAL,35648.33,C646699,M320747,72609.81,36961.479999999996,IN,0,0
TRANSFER,47802.61,C124079,M784911,49656.7,1854.0899999999965,CA,0,0
DEPOSIT,47787.29,C049014,M522160,62649.53,14862.239999999998,US,0,0
TRANSFER,13711.49,C790183,M251099,12872.28,0.0,US,0,0
PAYMENT,15164.99,C332906,M787408,10246.99,0.0,CA,0,0
PAYMENT,49539.67,C300891,M226236,73398.5,23858.83,AE,0,0
DEPOSIT,36615.73,C256214,M856018,2880.69,0.0,IN,0,0
PAYMENT,22721.94,C020949,M661433,32737.42,10015.48,UK,0,0
PAYMENT,14723.72,C918808,M505412,93704.21,78980.49,IN,0,0
TRANSFER,48867.42,C066671,M449030,68541.69,19674.270000000004,AE,0,0
PAYMENT,2127.42,C516319,M357767,44911.4,42783.98,UK,0,0
DEPOSIT,19679.63,C832355,M178006,48208.79,28529.16,NG,0,0
DEPOSIT,30648.38,C213358,M971796,52083.2,21434.819999999996,IN,0,0
WITHDRAWAL,49695.29,C762194,M999416,51050.32,1355.0299999999988,IN,0,0
TRANSFER,3033.93,C590505,M265060,75771.51,72737.58,CA,0,0
TRANSFER,45582.5,C004228,M859815,62022.14,16439.64,CA,1,1
DEPOSIT,40418.02,C562366,M092533,62377.79,21959.770000000004,IN,0,0
PAYMENT,32282.19,C888816,M871753,90138.0,57855.81,CA,0,0
PAYMENT,21285.82,C431177,M033689,70215.44,48929.62,US,0,0
TRANSFER,47216.6,C814331,M811405,93384.23,46167.63,AU,0,0
TRANSFER,48493.01,C463274,M349926,15918.91,0.0,US,0,0
PAYMENT,44846.29,C485798,M811965,76816.93,31970.639999999992,CA,0,0
PAYMENT,25210.56,C119821,M421876,61731.29,36520.729999999996,ZA,0,0
TRANSFER,32386.13,C717675,M155458,66442.72,34056.59,CA,0,0
TRANSFER,2078.47,C550953,M098909,2212.4,133.9300000000003,US,0,0
PAYMENT,36948.83,C354603,M074731,60912.38,23963.549999999996,UK,0,0
WITHDRAWAL,2774.46,C119341,M761147,93154.46,90380.0,AE,0,0
WITHDRAWAL,22146.61,C239516,M721658,14521.93,0.0,IN,0,0
WITHDRAWAL,125.92,C663235,M162425,41533.69,41407.770000000004,ZA,0,0
TRANSFER,10869.38,C285968,M261506,95244.64,84375.26,US,0,0
PAYMENT,29971.97,C494789,M343955,14715.59,0.0,CA,0,0
PAYMENT,18446.91,C498048,M560114,92839.92,74393.01,US,0,0
DEPOSIT,5635.79,C148323,M695137,94043.17,88407.38,AU,0,0
TRANSFER,26027.63,C960325,M710707,58273.02,32245.389999999996,US,0,0
DEPOSIT,17407.18,C958876,M866378,2067.9,0.0,IN,1,0
PAYMENT,42196.67,C967734,M979012,86997.86,44801.19,US,0,0
TRANSFER,46933.02,C756091,M512704,63792.0,16858.980000000003,CA,0,0
TRANSFER,12957.6,C015718,M869887,26626.09,13668.49,IN,0,0
TRANSFER,6036.51,C773641,M336235,9145.27,3108.76,US,0,0
TRANSFER,2324.13,C047132,M915013,77501.65,75177.51999999999,AU,0,0
WITHDRAWAL,39521.51,C063265,M248212,86678.74,47157.23,AE,0,0
TRANSFER,30070.15,C004765,M363529,48357.26,18287.11,UK,0,0
DEPOSIT,49229.9,C815491,M065374,55652.49,6422.5899999999965,CA,0,0
TRANSFER,46939.95,C674953,M047147,2817.14,0.0,AE,0,0
WITHDRAWAL,37041.67,C209225,M592385,54818.56,17776.89,IN,0,0
TRANSFER,588.73,C852844,M090886,82933.82,82345.09000000001,ZA,0,0
DEPOSIT,18329.12,C297500,M328852,42910.31,24581.19,AU,0,0
WITHDRAWAL,37133.23,C237775,M980783,28383.41,0.0,AE,0,0
PAYMENT,19071.81,C481051,M298561,58273.55,39201.740000000005,UK,0,0
WITHDRAWAL,41939.05,C303692,M639931,81274.35,39335.3,AU,0,0
PAYMENT,44101.34,C043213,M145091,19453.99,0.0,ZA,0,0
PAYMENT,3295.62,C132473,M702354,50690.67,47395.049999999996,AE,1,0
WITHDRAWAL,4768.95,C079368,M436983,18808.77,14039.82,NG,0,0
TRANSFER,46563.48,C768345,M003932,88593.77,42030.29,CA,0,0
PAYMENT,12229.47,C712507,M557967,54642.27,42412.799999999996,UK,0,0
WITHDRAWAL,20393.09,C826795,M041891,61161.53,40768.44,CA,0,0
PAYMENT,45547.8,C679526,M191215,15414.06,0.0,IN,0,0
DEPOSIT,14967.58,C295456,M560371,88917.57,73949.99,UK,0,0
DEPOSIT,11459.36,C152985,M837505,96648.1,85188.74,US,0,0
WITHDRAWAL,28052.79,C463384,M968302,55016.61,26963.82,CA,0,0
WITHDRAWAL,8544.8,C040460,M721633,20993.16,12448.36,ZA,0,0
PAYMENT,7417.28,C643289,M701058,81102.53,73685.25,ZA,0,0
WITHDRAWAL,41098.68,C939804,M047769,72470.56,31371.879999999997,AE,0,0
DEPOSIT,36458.15,C136462,M934865,53303.43,16845.28,UK,0,0
TRANSFER,34232.78,C213369,M910693,41342.39,7109.610000000001,IN,0,0
DEPOSIT,26897.87,C135385,M130806,25734.29,0.0,ZA,0,0
DEPOSIT,6363.53,C816267,M593545,81057.28,74693.75,IN,0,0
TRANSFER,4839.79,C333311,M190025,24210.01,19370.219999999998,IN,0,0
TRANSFER,3507.08,C464452,M005540,35211.56,31704.479999999996,IN,0,0
DEPOSIT,3244.28,C771889,M163182,3162.08,0.0,ZA,0,0
TRANSFER,25278.81,C633131,M061227,89965.6,64686.79000000001,AE,0,0
TRANSFER,16609.94,C785368,M388113,61204.67,44594.729999999996,NG,0,0
WITHDRAWAL,5352.54,C827708,M587919,75272.47,69919.93000000001,CA,0,0
WITHDRAWAL,11234.96,C512110,M786176,38845.95,27610.989999999998,US,1,0
DEPOSIT,13888.54,C941429,M754115,81509.79,67621.25,IN,0,0
WITHDRAWAL,45699.91,C062915,M824961,25031.54,0.0,NG,0,0
WITHDRAWAL,36841.29,C637106,M702036,81786.55,44945.26,US,0,0
WITHDRAWAL,25399.61,C943988,M944509,4809.24,0.0,AE,0,0
PAYMENT,44234.62,C167535,M957919,50421.03,6186.409999999996,AE,0,0
DEPOSIT,42349.43,C200185,M411898,5444.06,0.0,IN,0,0
PAYMENT,15103.63,C159598,M571480,17334.04,2230.4100000000017,AE,0,0
WITHDRAWAL,14611.23,C239465,M050218,76549.16,61937.93000000001,ZA,0,0
WITHDRAWAL,29876.15,C379737,M285458,82844.01,52967.85999999999,ZA,0,0
TRANSFER,25764.31,C587700,M874345,26744.1,979.7899999999972,UK,0,0
TRANSFER,7175.79,C420183,M011442,63848.33,56672.54,US,0,0
PAYMENT,14361.13,C391469,M709361,16343.55,1982.42,ZA,0,0
TRANSFER,5728.94,C767340,M826497,82264.72,76535.78,CA,0,0
PAYMENT,39558.62,C981642,M384774,89434.52,49875.9,AE,0,0
WITHDRAWAL,8717.54,C017660,M277469,42795.33,34077.79,ZA,0,0
PAYMENT,474.06,C044639,M972875,90592.28,90118.22,US,0,0
WITHDRAWAL,24131.38,C527569,M040259,93978.07,69846.69,CA,0,0
DEPOSIT,36103.35,C193909,M775252,66789.44,30686.090000000004,AU,0,0
DEPOSIT,14867.21,C695230,M132079,52060.81,37193.6,UK,0,0
WITHDRAWAL,10206.11,C271948,M378229,18347.84,8141.73,US,0,0
PAYMENT,45219.18,C441962,M752464,47989.27,2770.0899999999965,AE,0,0
DEPOSIT,34929.82,C992827,M442706,81464.99,46535.170000000006,CA,0,0
WITHDRAWAL,609.68,C406830,M356009,34607.82,33998.14,US,0,0
DEPOSIT,27497.6,C771570,M514614,64379.37,36881.770000000004,IN,0,0
WITHDRAWAL,23766.8,C732856,M821404,2848.29,0.0,UK,0,0
PAYMENT,36527.3,C816667,M048684,17255.64,0.0,IN,0,0
DEPOSIT,25008.16,C231612,M186562,3000.49,0.0,IN,0,0
PAYMENT,33679.17,C866117,M443236,41446.8,7767.630000000005,UK,0,0
DEPOSIT,17209.9,C257904,M946138,3116.08,0.0,AU,0,0
TRANSFER,10171.76,C063658,M031609,2167.65,0.0,UK,0,0
PAYMENT,7372.83,C558206,M491542,87465.04,80092.20999999999,UK,0,0
TRANSFER,12535.56,C273851,M813210,51802.65,39267.090000000004,IN,0,0
WITHDRAWAL,43944.3,C939401,M332081,37748.8,0.0,AU,0,0
WITHDRAWAL,31239.32,C430034,M629796,60723.81,29484.489999999998,UK,1,1
DEPOSIT,30679.23,C099912,M479610,95271.37,64592.14,US,1,1
TRANSFER,29261.72,C962025,M086731,64932.62,35670.9,IN,0,0
PAYMENT,28847.51,C060923,M738027,28495.9,0.0,UK,0,0
TRANSFER,29261.5,C090658,M101084,89489.1,60227.600000000006,UK,0,0
DEPOSIT,13134.82,C188464,M953609,15173.47,2038.6499999999996,NG,0,0
DEPOSIT,28611.03,C129969,M087977,44274.71,15663.68,AE,0,0
PAYMENT,31085.1,C781812,M202544,79433.52,48348.420000000006,AU,0,0
WITHDRAWAL,38997.9,C024434,M317930,57175.19,18177.29,AE,0,0
WITHDRAWAL,28746.48,C666663,M917478,44724.08,15977.600000000002,UK,0,0
PAYMENT,48587.14,C606199,M839589,59716.53,11129.39,IN,0,0
PAYMENT,17086.37,C539337,M281464,775.23,0.0,US,0,0
PAYMENT,49302.84,C325203,M265328,7984.0,0.0,US,0,0
PAYMENT,12678.41,C371545,M993529,15829.7,3151.290000000001,ZA,0,0
PAYMENT,19523.9,C306080,M569951,23797.94,4274.039999999997,IN,0,0
TRANSFER,49526.59,C205490,M296955,27803.88,0.0,ZA,0,0
WITHDRAWAL,32378.48,C202636,M979042,88518.33,56139.850000000006,ZA,0,0
PAYMENT,20363.47,C481603,M538104,14421.3,0.0,IN,0,0
PAYMENT,8331.89,C759581,M216247,44816.96,36485.07,ZA,0,0
WITHDRAWAL,2677.92,C183622,M119443,87118.17,84440.25,AU,0,0
WITHDRAWAL,5586.49,C755170,M186722,66301.5,60715.01,AU,0,0
WITHDRAWAL,15146.37,C116318,M869131,9908.43,0.0,NG,0,0
TRANSFER,25692.79,C800780,M435564,62822.1,37129.31,NG,0,0
PAYMENT,2272.64,C822961,M972650,38110.73,35838.090000000004,US,0,0
WITHDRAWAL,12629.46,C834253,M450647,16281.92,3652.460000000001,ZA,1,0
TRANSFER,25241.67,C467920,M828682,48932.13,23690.46,CA,0,0
TRANSFER,40259.62,C530550,M437169,34953.19,0.0,UK,0,0
TRANSFER,36561.81,C435062,M356383,56453.57,19891.760000000002,NG,0,0
WITHDRAWAL,42981.85,C974350,M591144,48315.24,5333.389999999999,CA,0,0
TRANSFER,9475.59,C897435,M215468,55426.55,45950.96000000001,US,0,0
PAYMENT,35567.43,C706258,M119127,65023.89,29456.46,US,0,0
WITHDRAWAL,15996.2,C080748,M255838,45892.05,29895.850000000002,AU,0,0
DEPOSIT,33763.83,C207845,M072452,80949.25,47185.42,IN,0,0
PAYMENT,8376.79,C006096,M463219,64856.11,56479.32,US,0,0
PAYMENT,22251.91,C722465,M746026,27440.58,5188.670000000002,NG,0,0
PAYMENT,30184.57,C799066,M040657,80651.94,50467.37,NG,0,0
WITHDRAWAL,4853.13,C981003,M331533,20223.97,15370.84,AE,0,0
TRANSFER,26249.36,C899797,M052818,45863.14,19613.78,AE,0,0
PAYMENT,15551.2,C746863,M716327,12388.08,0.0,IN,0,0
PAYMENT,27918.13,C728230,M147866,87090.93,59172.79999999999,UK,0,0
WITHDRAWAL,28096.61,C788567,M410586,91225.31,63128.7,IN,0,0
WITHDRAWAL,32920.4,C823956,M207489,72274.27,39353.87,US,0,0
WITHDRAWAL,2691.99,C498789,M934954,76555.17,73863.18,AE,0,0
WITHDRAWAL,16999.65,C737368,M069343,18904.65,1905.0,IN,0,0
DEPOSIT,23633.03,C705477,M012295,38691.88,15058.849999999999,UK,0,0
WITHDRAWAL,42978.97,C686710,M091175,82204.5,39225.53,UK,0,0
WITHDRAWAL,49700.59,C944767,M176670,33432.44,0.0,IN,0,0
TRANSFER,25267.09,C371251,M716627,96833.05,71565.96,UK,0,0
DEPOSIT,31792.84,C221687,M198282,19999.12,0.0,ZA,0,0
TRANSFER,10627.53,C604894,M678684,74102.84,63475.31,UK,0,0
PAYMENT,1012.94,C013599,M345865,48207.19,47194.25,AE,0,0
TRANSFER,12091.35,C503534,M319885,69064.89,56973.54,IN,0,0
TRANSFER,42316.18,C004221,M749944,4977.82,0.0,ZA,0,0
WITHDRAWAL,33954.54,C276127,M840811,65300.87,31346.33,US,0,0
WITHDRAWAL,42072.63,C553968,M429673,15310.55,0.0,IN,0,0
PAYMENT,41439.98,C057145,M022579,77643.78,36203.799999999996,ZA,0,0
PAYMENT,30396.96,C303226,M989240,65149.24,34752.28,AE,0,0
DEPOSIT,18772.97,C001906,M879313,70839.15,52066.17999999999,UK,0,0
WITHDRAWAL,33360.86,C668916,M909353,64682.47,31321.61,ZA,0,0
PAYMENT,10961.02,C740731,M474405,77699.1,66738.08,NG,0,0
PAYMENT,43926.37,C756247,M763998,81705.75,37779.38,AE,0,0
PAYMENT,28850.93,C583936,M661555,8980.74,0.0,AE,0,0
DEPOSIT,24390.72,C897749,M872470,79526.85,55136.130000000005,NG,0,0
TRANSFER,11800.74,C095646,M413551,41128.27,29327.53,AE,0,0
DEPOSIT,9442.73,C076867,M755302,88390.21,78947.48000000001,IN,0,0
PAYMENT,40.82,C101453,M760067,16404.56,16363.740000000002,AE,0,0
DEPOSIT,14167.56,C883950,M418880,11294.5,0.0,AE,0,0
DEPOSIT,39640.87,C855758,M703342,93535.68,53894.80999999999,US,0,0
PAYMENT,48641.72,C499367,M736319,77684.86,29043.14,CA,0,0
TRANSFER,38221.53,C112210,M753620,51457.81,13236.279999999999,AU,0,0
WITHDRAWAL,41207.94,C857934,M073753,50796.19,9588.25,NG,0,0
PAYMENT,26986.71,C226262,M360200,30446.71,3460.0,IN,0,0
PAYMENT,47241.29,C050731,M711286,60246.28,13004.989999999998,AU,0,0
PAYMENT,11925.29,C902948,M186954,92361.41,80436.12,ZA,0,0
DEPOSIT,20840.97,C710714,M981634,22044.61,1203.6399999999994,AE,0,0
PAYMENT,28306.96,C665963,M165655,71010.55,42703.590000000004,UK,0,0
DEPOSIT,35493.21,C607538,M473039,43600.57,8107.360000000001,ZA,0,0
PAYMENT,4505.18,C890365,M865250,57046.14,52540.96,UK,0,0
DEPOSIT,48293.77,C966658,M310187,6066.49,0.0,CA,0,0
DEPOSIT,31477.16,C507600,M747267,55613.22,24136.06,NG,0,0
TRANSFER,31241.54,C230880,M538354,75629.98,44388.439999999995,ZA,0,0
DEPOSIT,19500.25,C354055,M038292,98364.86,78864.61,ZA,0,0
WITHDRAWAL,3379.61,C328378,M858696,80680.55,77300.94,NG,0,0
DEPOSIT,19256.92,C119140,M685674,46526.08,27269.160000000003,IN,0,0
DEPOSIT,37068.6,C484200,M211104,82007.3,44938.700000000004,IN,0,0
PAYMENT,37930.18,C961120,M025999,60732.34,22802.159999999996,CA,0,0
WITHDRAWAL,36528.37,C219619,M010822,71735.11,35206.74,UK,0,0
WITHDRAWAL,21306.21,C385814,M724040,79011.04,57704.829999999994,US,0,0
DEPOSIT,47886.2,C853075,M434474,11677.81,0.0,CA,0,0
DEPOSIT,30485.5,C363337,M114702,8987.09,0.0,UK,0,0
